,age,job,marital,education,default,housing,loan,contact,month,day_week,campaign,previous,poutcome,subscribed
0,56,4,2,1,1,1,1,2,7,2,1,0,2,no
1,57,8,2,4,2,1,1,2,7,2,1,0,2,no
2,37,8,2,4,1,3,1,2,7,2,1,0,2,no
3,40,1,2,2,1,1,1,2,7,2,1,0,2,no
4,56,8,2,4,1,1,3,2,7,2,1,0,2,no
5,45,8,2,3,2,1,1,2,7,2,1,0,2,no
6,59,1,2,6,1,1,1,2,7,2,1,0,2,no
7,41,2,2,8,2,1,1,2,7,2,1,0,2,no
8,24,10,3,6,1,3,1,2,7,2,1,0,2,no
9,25,8,3,4,1,3,1,2,7,2,1,0,2,no
10,41,2,2,8,2,1,1,2,7,2,1,0,2,no
11,25,8,3,4,1,3,1,2,7,2,1,0,2,no
12,29,2,3,4,1,1,3,2,7,2,1,0,2,no
13,57,4,1,1,1,3,1,2,7,2,1,0,2,no
14,35,2,2,2,1,3,1,2,7,2,1,0,2,no
15,54,6,2,3,2,3,3,2,7,2,1,0,2,no
16,35,2,2,2,1,3,1,2,7,2,1,0,2,no
17,46,2,2,2,2,3,3,2,7,2,1,0,2,no
18,50,2,2,3,1,3,3,2,7,2,1,0,2,no
19,39,5,3,3,2,1,1,2,7,2,1,0,2,no
20,30,11,2,4,1,1,1,2,7,2,1,0,2,no
21,55,2,2,1,2,3,1,2,7,2,1,0,2,no
22,55,6,3,4,1,3,1,2,7,2,1,0,2,no
23,41,10,3,4,1,3,1,2,7,2,1,0,2,no
24,37,1,2,4,1,3,1,2,7,2,1,0,2,no
25,35,10,2,7,1,1,3,2,7,2,1,0,2,no
26,59,10,2,8,1,3,1,2,7,2,1,0,2,no
27,39,7,2,3,2,1,1,2,7,2,1,0,2,no
28,54,10,3,7,2,1,1,2,7,2,2,0,2,no
29,55,12,2,7,2,2,2,2,7,2,1,0,2,no
30,46,1,2,8,1,1,1,2,7,2,1,0,2,no
31,59,10,2,8,1,3,1,2,7,2,1,0,2,no
32,49,2,2,8,1,1,1,2,7,2,1,0,2,no
33,54,5,2,1,2,3,1,2,7,2,1,0,2,no
34,54,2,1,1,1,1,1,2,7,2,1,0,2,no
35,55,12,2,1,2,3,1,2,7,2,1,0,2,no
36,34,8,2,4,1,1,1,2,7,2,1,0,2,no
37,52,10,2,3,1,3,1,2,7,2,1,0,2,no
38,41,1,2,7,1,3,1,2,7,2,1,0,2,no
39,56,10,2,1,1,3,1,2,7,2,1,0,2,no
40,58,5,4,7,1,3,1,2,7,2,1,0,2,no
41,32,3,2,4,1,3,1,2,7,2,1,0,2,no
42,38,1,3,6,1,1,1,2,7,2,1,0,2,no
43,57,1,2,7,1,1,3,2,7,2,1,0,2,no
44,44,1,2,7,2,3,1,2,7,2,1,0,2,no
45,42,10,3,6,2,1,1,2,7,2,1,0,2,no
46,57,1,2,7,1,3,3,2,7,2,1,0,2,no
47,40,2,2,3,1,1,3,2,7,2,1,0,2,no
48,35,1,2,7,1,3,1,2,7,2,1,0,2,no
49,45,2,2,3,1,3,1,2,7,2,2,0,2,no
50,54,1,2,4,1,1,1,2,7,2,1,0,2,no
51,39,4,2,1,1,1,3,2,7,2,1,0,2,no
52,60,1,2,4,1,1,1,2,7,2,1,0,2,no
53,53,1,3,6,1,1,1,2,7,2,1,0,2,no
54,55,2,2,1,2,1,1,2,7,2,2,0,2,no
55,55,10,2,6,2,3,1,2,7,2,1,0,2,no
56,50,5,2,7,2,1,3,2,7,2,1,0,2,no
57,45,8,2,4,2,3,1,2,7,2,1,0,2,no
58,55,11,2,6,2,3,3,2,7,2,1,0,2,no
59,25,10,3,7,1,3,1,2,7,2,1,0,2,no
60,47,3,2,7,2,1,1,2,7,2,1,0,2,no
61,51,2,2,3,1,3,1,2,7,2,1,0,2,no
62,42,2,2,2,2,3,1,2,7,2,1,0,2,no
63,42,2,2,2,2,1,1,2,7,2,1,0,2,no
64,48,1,2,4,1,1,1,2,7,2,1,0,2,no
65,37,1,2,7,1,1,1,2,7,2,1,0,2,no
66,44,2,3,3,1,3,1,2,7,2,1,0,2,no
67,33,1,2,8,1,3,1,2,7,2,1,0,2,no
68,56,1,2,3,1,3,1,2,7,2,2,0,2,no
69,44,2,3,1,2,3,3,2,7,2,1,0,2,no
70,41,5,2,2,1,1,1,2,7,2,1,0,2,no
71,44,5,1,7,1,3,1,2,7,2,1,0,2,no
72,47,1,2,7,2,3,1,2,7,2,1,0,2,no
73,57,12,2,8,2,1,1,2,7,2,1,0,2,no
74,37,1,2,7,2,3,1,2,7,2,1,0,2,no
75,41,2,1,1,2,3,1,2,7,2,1,0,2,yes
76,55,10,2,7,1,1,1,2,7,2,1,0,2,no
77,33,8,2,4,2,3,1,2,7,2,2,0,2,no
78,55,5,2,8,2,3,1,2,7,2,1,0,2,no
79,42,2,2,3,2,1,1,2,7,2,1,0,2,no
80,50,2,2,1,2,3,1,2,7,2,1,0,2,no
81,51,2,2,1,2,2,2,2,7,2,1,0,2,no
82,38,1,2,4,2,1,1,2,7,2,2,0,2,no
83,49,3,2,7,2,3,1,2,7,2,1,0,2,yes
84,38,10,3,7,1,1,3,2,7,2,1,0,2,no
85,31,1,1,4,1,1,1,2,7,2,1,0,2,no
86,41,5,2,2,1,1,1,2,7,2,2,0,2,no
87,39,1,2,7,1,3,3,2,7,2,1,0,2,no
88,49,10,2,3,1,1,1,2,7,2,1,0,2,yes
89,34,1,2,4,1,3,1,2,7,2,2,0,2,no
90,35,1,2,7,1,3,1,2,7,2,2,0,2,no
91,57,12,2,8,2,3,1,2,7,2,1,0,2,no
92,60,1,2,8,2,1,3,2,7,2,2,0,2,no
93,33,11,2,3,1,1,1,2,7,2,1,0,2,no
94,42,2,2,2,1,1,3,2,7,2,1,0,2,no
95,45,8,2,6,1,3,1,2,7,2,1,0,2,no
96,42,5,2,7,1,1,1,2,7,2,1,0,2,no
97,53,1,1,7,2,1,1,2,7,2,1,0,2,no
98,37,10,3,6,1,1,1,2,7,2,1,0,2,no
99,44,2,2,2,1,1,1,2,7,2,1,0,2,no
100,54,8,2,8,1,3,1,2,7,2,1,0,2,no
101,49,2,2,1,1,1,1,2,7,2,3,0,2,no
102,54,8,2,8,1,1,1,2,7,2,1,0,2,no
103,52,1,1,7,1,1,1,2,7,2,1,0,2,no
104,52,1,1,7,1,1,1,2,7,2,1,0,2,no
105,43,8,3,4,2,1,1,2,7,2,1,0,2,no
106,34,4,2,2,1,3,1,2,7,2,2,0,2,no
107,35,1,2,4,1,3,1,2,7,2,2,0,2,no
108,42,3,2,8,2,3,1,2,7,2,1,0,2,no
109,43,10,2,8,2,3,3,2,7,2,1,0,2,no
110,60,6,1,7,2,1,1,2,7,2,1,0,2,no
111,58,11,2,1,2,1,1,2,7,2,2,0,2,no
112,35,8,1,4,1,3,1,2,7,2,1,0,2,no
